Source : https://data.sncf.com
Thème : Régularité des TGV
Périodicité : mensuelle
Début : 2012
Fin : 2015


La régularité est calculée lors de l’arrivée du train à la dernière gare de son parcours (terminus). Ce mode de calcul, qui n’intègre pas les gares intermédiaires, propose le retard cumulé sur l’ensemble d’un trajet.
L’indicateur utilisé est celui de la « régularité composite » : un train est considéré en retard s’il arrive cinq minutes après son heure prévue pour un trajet de moins de 1h30, dix minutes pour un trajet de 1h30 à 3h,
et quinze minutes pour un trajet de plus de 3h.Un train supprimé avant 16h la veille de sa circulation ne sera pas comptabilisé. En revanche, si l’annonce de sa suppression n’a pu être faite la veille avant 16h, 
le train sera bien comptabilisé comme un train supprimé, que cette suppression soit totale ou partielle (le train a effectué qu’une partie de son parcours).

  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 | Année| Mois | Id Trajet | Id Gare de départ| Gare de départ                      | Id Gare d'arrivée| Gare d'arrivée                      | Nombre de TGV programmés | Nombre de TGV annulés | Nombre de TGV en retard|
*| 2012 | 2    | 074       | 033              | PARIS MONTPARNASSE                  | 037              | QUIMPER                             | 150                      | 0                     | 17                     |
*| 2012 | 2    | 077       | 033              | PARIS MONTPARNASSE                  | 042              | ST PIERRE DES CORPS                 | 436                      | 0                     | 89                     |
*| 2012 | 2    | 044       | 031              | PARIS EST                           | 043              | STRASBOURG                          | 452                      | 0                     | 59                     |
*| 2012 | 2    | 098       | 046              | TOURS                               | 033              | PARIS MONTPARNASSE                  | 197                      | 0                     | 54                     |
*| 2012 | 2    | 079       | 033              | PARIS MONTPARNASSE                  | 046              | TOURS                               | 194                      | 0                     | 51                     |
*| 2012 | 2    | 064       | 032              | PARIS LYON                          | 047              | VALENCE ALIXAN TGV                  | 252                      | 0                     | 31                     |
*| 2012 | 2    | 008       | 008              | BESANCON FRANCHE COMTE TGV          | 032              | PARIS LYON                          | 207                      | 1                     | 30                     |
*| 2012 | 2    | 009       | 009              | BORDEAUX ST JEAN                    | 033              | PARIS MONTPARNASSE                  | 596                      | 0                     | 140                    |
*| 2012 | 2    | 045       | 032              | PARIS LYON                          | 001              | AIX EN PROVENCE TGV                 | 381                      | 0                     | 60                     |
*| 2012 | 2    | 082       | 034              | PARIS NORD                          | 013              | DOUAI                               | 199                      | 0                     | 30                     |
*| 2012 | 2    | 083       | 034              | PARIS NORD                          | 014              | DUNKERQUE                           | 151                      | 1                     | 14                     |
*| 2012 | 2    | 052       | 032              | PARIS LYON                          | 015              | GRENOBLE                            | 255                      | 0                     | 32                     |
*| 2012 | 2    | 070       | 033              | PARIS MONTPARNASSE                  | 017              | LAVAL                               | 245                      | 1                     | 35                     |
*| 2012 | 2    | 033       | 025              | MONTPELLIER                         | 021              | LYON PART DIEU                      | 343                      | 1                     | 84                     |
*| 2012 | 2    | 003       | 003              | ANGOULEME                           | 033              | PARIS MONTPARNASSE                  | 335                      | 0                     | 102                    |
*| 2012 | 2    | 034       | 025              | MONTPELLIER                         | 032              | PARIS LYON                          | 348                      | 0                     | 46                     |
*| 2012 | 2    | 058       | 032              | PARIS LYON                          | 026              | MULHOUSE VILLE                      | 294                      | 0                     | 45                     |
*| 2012 | 2    | 037       | 028              | NANTES                              | 033              | PARIS MONTPARNASSE                  | 560                      | 1                     | 67                     |
